paper,year,venue,dataset,language,BugsInPy,ML,RL,online_adaptation,cost_aware,cross_project,cold_start,budget,sequential,baselines,metrics,limitations,notes
"Elbaum et al. - Techniques for Improving Regression Testing in Continuous Integration Development Environments",2014,FSE,Industrial,Java,No,No,No,No,Yes,No,No,Yes,No,Random;Untreated,APFD;TTD,"No ML; Java only; No cross-project",Foundational cost-aware prioritization
"Rothermel et al. - Prioritizing Test Cases For Regression Testing",2001,TSE,SIR,C,No,No,No,No,No,No,No,No,No,ART;Random,APFD,"Old benchmark; C only; Not cross-project",Foundational APFD metric paper
"Kim & Porter - A history-based test prioritization technique",2002,ICSE,Industrial,Java,No,No,No,No,No,No,No,No,No,Modified;Original,APFD,"Requires history; Not cross-project","Introduced historical failure rate"
"Chen et al. - ROCKET: Speed up Context-Sensitive Points-to Analysis via Regions",2021,OOPSLA,Various,Java,No,No,No,No,No,No,No,No,No,Ekztazi;STARTS,Time,Not cost-aware; no ML,Points-to acceleration not RTS
"Yoo & Harman - Regression Testing Minimisation Selection and Prioritisation: A Survey",2012,STVR,Survey,Multiple,No,No,No,No,Yes,No,No,Yes,No,Survey,APFD;FDR,"Survey only; no BugsInPy","Comprehensive survey; read for baseline choice"
"Noor & Hemmati - A similarity-based approach for test case prioritization",2015,ISSRE,Industrial,Java,No,Yes,No,No,No,No,No,No,No,Random;Historical,APFD,"No cross-project; Java only","ML-based test prioritization baseline"
"Spieker et al. - Reinforcement Learning for Automatic Test Case Prioritization",2017,ISSTA,ABB,Java,No,No,Yes,Yes,No,No,No,Yes,Yes,Random;Failure,NAPFD,"Single project; Java; No budget","First RL paper for TCP; key baseline (Tableau-RL)"
"Bertolino et al. - Learning-to-rank vs ranking SVM for test case prioritization",2020,A-TEST,Various,Java,No,Yes,No,No,No,No,No,No,No,Random;Greedy,APFD,"Java only; no budget",Ranking approach for TCP
"Peng et al. - BugsInPy: A Database of Existing Bugs in Python Programs",2020,ESEC/FSE,BugsInPy,Python,Yes,No,No,No,No,No,No,No,No,Manual,Coverage,"No ML; no policy","Original BugsInPy paper — must cite"
"Bagherzadeh et al. - Industrial Adoption of Software Testing Techniques and Tools",2019,JSS,Industrial,Java,No,No,No,No,Yes,No,No,Yes,No,Coverage;Random,FDR,"Not research method","Context for industrial practice"
"Lam et al. - An Empirical Study of Flaky Tests",2019,ESEC/FSE,Industrial,Multiple,No,No,No,No,No,No,No,No,No,Reruns,Flakiness,"Not TCP; flakiness focus","Relevant for test reliability concerns"
"Hasan et al. - Comparing cross-project defect prediction approaches",2014,MSR,Various,Java,No,Yes,No,No,No,Yes,Yes,No,No,Within-project,F1,"Java only; defect not test","Cross-project ML — methodology reference"
"Shi et al. - EALB: Effective and Lightweight Balance of Exploring and Exploiting",2019,SANER,SIR+Industrial,Multiple,No,No,No,Yes,No,No,No,Yes,Yes,Greedy;RL,APFD,"No cost; no BugsInPy","Adaptive test prioritization"
"Kwon et al. - Reducing Test Execution Time Using Machine Learning",2020,ISSRE,Industrial,Multiple,No,Yes,No,No,Yes,No,No,Yes,No,Coverage;History,TTD;FDR,"Industrial; no open data","ML for test selection with budget"
"Chen et al. - Revisiting Human-Centric Test Prioritization in the Continuous Integration Age",2022,ICSE,GitHub CI,Multiple,No,Yes,No,No,Yes,Yes,No,Yes,No,Random;History;Coverage,FDR;TTD,"No Python; no sequential","Cross-project CI test selection"
"Zogaan et al. - Automated test-suite generation for student programs",2017,ICSE-C,Academic,Java,No,No,No,No,No,No,No,No,No,Manual,Coverage,"Not TCP topic",
"Yu et al. - TERMINATOR: Better Automated UI Test Case Prioritization",2019,ESEC/FSE,Industrial,Java,No,Yes,No,Yes,No,No,No,No,Yes,Random;Historical,APFD,"UI tests; not unit tests","Adaptive prioritization good reference"
"Candido et al. - Test suite parallelization in open-source projects",2017,ASE,GitHub,Multiple,No,No,No,No,Yes,No,No,Yes,No,Sequential,Time,"Not prioritization; parallelism","Cost-aware context"
"Bertolino et al. - Adaptive Random Testing variants for detecting faults in programs",2012,STVR,Various,Multiple,No,No,No,Yes,No,No,No,No,Yes,Random;ART,APFD,"No ML; no budget",ART baseline for adaptive comparison
"Lin et al. - Context-Aware Test Case Prioritization",2020,TOSEM,SIR,Multiple,No,Yes,No,No,No,No,No,No,No,Coverage;Random,APFD,"No cross-project; no budget","ML context-aware — compare to Baseline 5"
"Haghighatkhah et al. - Test Prioritization in Continuous Integration Environments",2018,JSS,Industrial,Java,No,Yes,No,No,Yes,Yes,No,Yes,No,Random;Coverage;Historical,FDR;APFD,"Java; no sequential; no BugsInPy","Best cross-project cost-aware baseline ref"
"Saha et al. - Mutest: A Mutation Testing Framework for C Programs",2011,ICSE,SIR,C,No,No,No,No,No,No,No,No,No,Coverage,Mutation,"Not TCP topic","Background only"
"Liang et al. - Redefining Prioritization: Continuous Prioritization for Continuous Integration",2018,ICSE,Mozilla,Multiple,No,No,No,Yes,Yes,No,No,Yes,Yes,Random;History,FDR;Time,"Not cross-project","Important adaptive CI baseline"
"Mehta et al. - Test Case Prioritization using Fault-Trigger Prediction",2021,SANER,SIR,Java,No,Yes,No,No,No,No,No,No,No,History;Coverage,APFD,"Not cross-project; no budget","ML fault-trigger prediction — compare to Baseline 5"
